index,City,City_Tier,Date,Year,Month,Quarter,Weekday,Is_Weekend,Festive_Season,Card_Type,Exp_Type,Gender,Amount,Amount_Bucket
0,"Delhi, India",Metro,2014-10-29,2014,10,2014Q4,Wednesday,False,True,Gold,Bills,F,82475.0,Medium
1,"Greater Mumbai, India",Metro,2014-08-22,2014,8,2014Q3,Friday,False,False,Platinum,Bills,F,32555.0,Low
2,"Bengaluru, India",Metro,2014-08-27,2014,8,2014Q3,Wednesday,False,False,Silver,Bills,F,101738.0,Medium
3,"Greater Mumbai, India",Metro,2014-04-12,2014,4,2014Q2,Saturday,True,False,Signature,Bills,F,123424.0,Medium
4,"Bengaluru, India",Metro,2015-05-05,2015,5,2015Q2,Tuesday,False,False,Gold,Bills,F,171574.0,High
5,"Delhi, India",Metro,2014-09-08,2014,9,2014Q3,Monday,False,False,Silver,Bills,F,100036.0,Medium
6,"Delhi, India",Metro,2015-02-24,2015,2,2015Q1,Tuesday,False,False,Gold,Bills,F,143250.0,Medium
7,"Greater Mumbai, India",Metro,2014-06-26,2014,6,2014Q2,Thursday,False,False,Platinum,Bills,F,150980.0,Medium
8,"Delhi, India",Metro,2014-03-28,2014,3,2014Q1,Friday,False,False,Silver,Bills,F,192247.0,High
9,"Delhi, India",Metro,2014-09-01,2014,9,2014Q3,Monday,False,False,Platinum,Bills,F,67932.0,Low
10,"Delhi, India",Metro,2014-06-22,2014,6,2014Q2,Sunday,True,False,Platinum,Bills,F,280061.0,Very High
11,"Greater Mumbai, India",Metro,2013-12-07,2013,12,2013Q4,Saturday,True,False,Signature,Bills,F,278036.0,Very High
12,"Greater Mumbai, India",Metro,2014-08-07,2014,8,2014Q3,Thursday,False,False,Gold,Bills,F,19226.0,Low
13,"Delhi, India",Metro,2014-04-27,2014,4,2014Q2,Sunday,True,False,Signature,Bills,F,254359.0,Very High
14,"Greater Mumbai, India",Metro,2014-08-15,2014,8,2014Q3,Friday,False,False,Signature,Bills,F,302834.0,Very High
15,"Greater Mumbai, India",Metro,2014-11-28,2014,11,2014Q4,Friday,False,True,Platinum,Bills,F,647116.0,Very High
16,"Greater Mumbai, India",Metro,2014-06-14,2014,6,2014Q2,Saturday,True,False,Signature,Bills,F,421878.0,Very High
17,"Greater Mumbai, India",Metro,2015-03-30,2015,3,2015Q1,Monday,False,False,Gold,Bills,F,986379.0,Very High
